state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1
New Mexico,Clovis (Dryl.),3 replications,CI1442,1,532,63.6,56,129
New Mexico,Clovis (Dryl.),3 replications,CI13996,2,864,66.3,52,120
New Mexico,Clovis (Dryl.),3 replications,PI495594,3,1327,62.7,49,117
New Mexico,Clovis (Dryl.),3 replications,OK88767-11,4,474,72.6,45,119
New Mexico,Clovis (Dryl.),3 replications,OK88767-02,5,485,69.1,43,119
New Mexico,Clovis (Dryl.),3 replications,OK88767-15,6,431,68.1,47,120
New Mexico,Clovis (Dryl.),3 replications,OK88767-24,7,496,71.2,48,118
New Mexico,Clovis (Dryl.),3 replications,TX88A6480,8,745,69,49,119
New Mexico,Clovis (Dryl.),3 replications,TX88A6533,9,610,60.8,47,119
New Mexico,Clovis (Dryl.),3 replications,TX90D9277,10,439,62.4,41,127
New Mexico,Clovis (Dryl.),3 replications,TX89A7137,11,927,64.8,49,119
New Mexico,Clovis (Dryl.),3 replications,TX91V4931,12,1084,72.3,47,118
New Mexico,Clovis (Dryl.),3 replications,TX90V8410,13,1168,68.2,52,119
New Mexico,Clovis (Dryl.),3 replications,TX9OV7911,14,657,68.8,42,117
New Mexico,Clovis (Dryl.),3 replications,TX91V5739,15,,,,
New Mexico,Clovis (Dryl.),3 replications,TX91V3308,16,595,64.5,47,120
New Mexico,Clovis (Dryl.),3 replications,TX89A7141,17,1141,70.7,46,119
New Mexico,Clovis (Dryl.),3 replications,C0880054,18,541,63.3,47,120
New Mexico,Clovis (Dryl.),3 replications,CO880169,19,708,68.1,47,119
New Mexico,Clovis (Dryl.),3 replications,CO88021,20,1098,71.1,51,119
New Mexico,Clovis (Dryl.),3 replications,CO880240,21,582,64.5,44,127
New Mexico,Clovis (Dryl.),3 replications,KS831374-142,22,635,69.8,45,117
New Mexico,Clovis (Dryl.),3 replications,KS84063-9-7,23,498,68.5,47,122
New Mexico,Clovis (Dryl.),3 replications,KS92PO59E,24,519,60.9,43,127
New Mexico,Clovis (Dryl.),3 replications,KS92PO263-137,25,1031,66.7,47,120
New Mexico,Clovis (Dryl.),3 replications,KS92PO363-134,26,971,64.4,51,120
New Mexico,Clovis (Dryl.),3 replications,KS92PO425-155,27,1022,63.8,45,118
New Mexico,Clovis (Dryl.),3 replications,KS89H48-1,28,700,68,45,118
New Mexico,Clovis (Dryl.),3 replications,N87V106,29,563,67.6,45,120
New Mexico,Clovis (Dryl.),3 replications,NE88584,30,1506,68.8,49,120
New Mexico,Clovis (Dryl.),3 replications,NE90479,31,626,73,47,121
New Mexico,Clovis (Dryl.),3 replications,NE90524,32,658,69.4,51,120
New Mexico,Clovis (Dryl.),3 replications,NE90574,33,714,63,50,120
New Mexico,Clovis (Dryl.),3 replications,XH1455,34,797,62.4,47,123
New Mexico,Clovis (Dryl.),3 replications,XH1485,35,707,67,51,120
New Mexico,Clovis (Dryl.),3 replications,XH1520,36,788,67.4,52,119
New Mexico,Clovis (Dryl.),3 replications,XH1529,37,937,63.3,47,117
New Mexico,Clovis (Dryl.),3 replications,XH1610,38,723,66.7,46,125
New Mexico,Clovis (Dryl.),3 replications,W87-017-44,39,659,70.6,45,118
New Mexico,Clovis (Dryl.),3 replications,WI89-055,40,947,57.7,46,117
New Mexico,Clovis (Dryl.),3 replications,T13,41,756,71.7,45,119
,,,T4731,42,,,,
New Mexico,Clovis (Dryl.),3 replications,T70,43,1366,66.3,51,121
New Mexico,Clovis (Dryl.),3 replications,T64,44,432,70.2,40,119
New Mexico,Clovis (Dryl.),3 replications,TH905,45,445,61.7,44,119
