state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1
Colorado ,Fort Collins,3 replications,CI1442,1,4834,79.1,132,161
Colorado ,Fort Collins,3 replications,CI13996,2,6100,81.1,122,151
Colorado ,Fort Collins,3 replications,PI495594,3,5972,78.6,102,149
Colorado ,Fort Collins,3 replications,OK88767-11,4,5716,77.8,91,150
Colorado ,Fort Collins,3 replications,OK88767-02,5,5794,80.2,91,150
Colorado ,Fort Collins,3 replications,OK88767-15,6,6008,80.6,89,151
Colorado ,Fort Collins,3 replications,OK88767-24,7,5862,79.1,91,150
Colorado ,Fort Collins,3 replications,TX88A6480,8,6035,79.1,94,151
Colorado ,Fort Collins,3 replications,TX88A6533,9,5912,82.4,89,150
Colorado ,Fort Collins,3 replications,TX90D9277,10,5917,79.2,102,152
Colorado ,Fort Collins,3 replications,TX89A7137,11,6126,80.1,97,149
Colorado ,Fort Collins,3 replications,TX91V4931,12,7373,83.7,97,148
Colorado ,Fort Collins,3 replications,TX90V8410,13,6780,80.2,91,151
Colorado ,Fort Collins,3 replications,TX9OV7911,14,5989,80.6,94,150
Colorado ,Fort Collins,3 replications,TX91V5739,15,5264,81.3,94,148
Colorado ,Fort Collins,3 replications,TX91V3308,16,6140,77,94,152
Colorado ,Fort Collins,3 replications,TX89A7141,17,6044,81.1,94,149
Colorado ,Fort Collins,3 replications,C0880054,18,6279,74.2,99,152
Colorado ,Fort Collins,3 replications,CO880169,19,6119,78,107,153
Colorado ,Fort Collins,3 replications,CO88021,20,6296,81.1,97,151
Colorado ,Fort Collins,3 replications,CO880240,21,5758,75.7,109,156
Colorado ,Fort Collins,3 replications,KS831374-142,22,6267,80.4,94,147
Colorado ,Fort Collins,3 replications,KS84063-9-7,23,6260,79.7,107,151
Colorado ,Fort Collins,3 replications,KS92PO59E,24,6367,76.1,109,151
Colorado ,Fort Collins,3 replications,KS92PO263-137,25,6559,79.1,104,151
Colorado ,Fort Collins,3 replications,KS92PO363-134,26,6250,79.5,97,150
Colorado ,Fort Collins,3 replications,KS92PO425-155,27,5882,75.7,86,151
Colorado ,Fort Collins,3 replications,KS89H48-1,28,5876,80.1,99,150
Colorado ,Fort Collins,3 replications,N87V106,29,6099,79.1,102,150
Colorado ,Fort Collins,3 replications,NE88584,30,6998,81.3,112,150
Colorado ,Fort Collins,3 replications,NE90479,31,5123,82,107,152
Colorado ,Fort Collins,3 replications,NE90524,32,6385,79.7,112,150
Colorado ,Fort Collins,3 replications,NE90574,33,6104,76,109,152
Colorado ,Fort Collins,3 replications,XH1455,34,6728,78.6,107,151
Colorado ,Fort Collins,3 replications,XH1485,35,6797,79.1,104,152
Colorado ,Fort Collins,3 replications,XH1520,36,7012,80.6,102,150
Colorado ,Fort Collins,3 replications,XH1529,37,6411,79.5,94,147
Colorado ,Fort Collins,3 replications,XH1610,38,5875,75.7,102,153
Colorado ,Fort Collins,3 replications,W87-017-44,39,6206,81.8,97,152
Colorado ,Fort Collins,3 replications,WI89-055,40,6541,82.2,86,150
Colorado ,Fort Collins,3 replications,T13,41,5246,78.6,94,150
Colorado ,Fort Collins,3 replications,T4731,42,4961,72.4,94,153
Colorado ,Fort Collins,3 replications,T70,43,5613,76.1,86,154
Colorado ,Fort Collins,3 replications,T64,44,5512,79.5,89,154
Colorado ,Fort Collins,3 replications,TH905,45,5777,78.9,94,151
,Fort Collins,3 replications,YUMA,46,5707,78.6,97,152
,Fort Collins,3 replications,JULES,47,5086,74.9,99,159
,Fort Collins,3 replications,LAMAR,48,4549,80,102,153
,Fort Collins,3 replications,CO840186,49,4345,77.8,99,159
,Fort Collins,3 replications,MV16-85,50,4253,75.2,84,153
