state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1
NEW MEXICO,CLOVIS(IRR.),3,TX89A7141,17,7254,67.9,78,122
NEW MEXICO,CLOVIS(IRR.),3,T13,41,6710,71.3,76,122
NEW MEXICO,CLOVIS(IRR.),3,TX89A7137,11,6566,70.5,81,121
NEW MEXICO,CLOVIS(IRR.),3,CO880210,20,6524,72.5,75,124
NEW MEXICO,CLOVIS(IRR.),3,XH1485,35,6435,69.2,76,125
NEW MEXICO,CLOVIS(IRR.),3,TX88A6533,9,6398,74.1,77,121
NEW MEXICO,CLOVIS(IRR.),3,TAM-107,3,6372,70.4,75,120
NEW MEXICO,CLOVIS(IRR.),3,TX90V8410,13,6241,65.4,79,125
NEW MEXICO,CLOVIS(IRR.),3,T70,43,6203,64.6,79,123
NEW MEXICO,CLOVIS(IRR.),3,CO880054,18,6161,67,75,126
NEW MEXICO,CLOVIS(IRR.),3,XH1455,34,6009,67.4,75,124
NEW MEXICO,CLOVIS(IRR.),3,TX91V4931,12,5870,66.8,77,120
NEW MEXICO,CLOVIS(IRR.),3,OK88767-11,4,5866,69.1,75,120
NEW MEXICO,CLOVIS(IRR.),3,CO880169,19,5786,69.8,74,125
NEW MEXICO,CLOVIS(IRR.),3,OK88767-24,7,5701,70.1,78,120
NEW MEXICO,CLOVIS(IRR.),3,XH1520,36,5646,68.7,80,121
NEW MEXICO,CLOVIS(IRR.),3,XH1529,37,5587,72.4,77,120
NEW MEXICO,CLOVIS(IRR.),3,OK88767-15,6,5549,68.3,74,122
NEW MEXICO,CLOVIS(IRR.),3,KS92PO263-137,25,5528,66.2,79,125
NEW MEXICO,CLOVIS(IRR.),3,TX88A6480,8,5507,68.6,78,124
NEW MEXICO,CLOVIS(IRR.),3,T64,44,5486,71.8,78,120
NEW MEXICO,CLOVIS(IRR.),3,NE90479,31,5435,65.4,79,124
NEW MEXICO,CLOVIS(IRR.),3,WI9-055,40,5431,70,77,122
NEW MEXICO,CLOVIS(IRR.),3,NE90524,32,5406,67.6,83,125
NEW MEXICO,CLOVIS(IRR.),3,KS89H48-1,28,5288,71,76,123
NEW MEXICO,CLOVIS(IRR.),3,KS92PO59E,24,5178,68.5,72,125
NEW MEXICO,CLOVIS(IRR.),3,NE90574,33,5072,69.7,80,125
NEW MEXICO,CLOVIS(IRR.),3,KS92PO425-155,27,5034,67.3,67,125
NEW MEXICO,CLOVIS(IRR.),3,CO880240,21,4874,69.1,77,130
NEW MEXICO,CLOVIS(IRR.),3,XH1610,38,4832,66.3,73,125
NEW MEXICO,CLOVIS(IRR.),3,N87V106,29,4802,71.1,83,120
NEW MEXICO,CLOVIS(IRR.),3,KS92PO363-134,26,4790,66.7,75,125
NEW MEXICO,CLOVIS(IRR.),3,W87-017-44,39,4785,71.4,76,121
NEW MEXICO,CLOVIS(IRR.),3,Scout66,2,4739,69.1,88,124
NEW MEXICO,CLOVIS(IRR.),3,TX90V7911,14,4423,70.9,71,120
NEW MEXICO,CLOVIS(IRR.),3,TH905,45,4389,66.3,82,120
NEW MEXICO,CLOVIS(IRR.),3,TX90D9277,10,4380,68.3,75,125
NEW MEXICO,CLOVIS(IRR.),3,KS831374-142,22,4279,70.3,74,120
NEW MEXICO,CLOVIS(IRR.),3,OK88767-02,5,4241,68.4,80,123
NEW MEXICO,CLOVIS(IRR.),3,TX91V3308,16,4169,62.3,78,125
NEW MEXICO,CLOVIS(IRR.),3,KS84063-9-7,23,4093,68.9,80,125
NEW MEXICO,CLOVIS(IRR.),3,T4731,42,4089,62.3,77,125
NEW MEXICO,CLOVIS(IRR.),3,TX91V5739,15,3604,66.2,74,120
NEW MEXICO,CLOVIS(IRR.),3,NE88584,30,3591,68.8,82,125
NEW MEXICO,CLOVIS(IRR.),3,Kharkof,1,2557,72.5,87,132
