state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,lodging 0-9
S. DAKOTA,PIERRE,3,OK88767-11,4,7644,82.8,87,151,4
S. DAKOTA,PIERRE,3,KS92P0263-137,25,7215,74.2,86,154,4
S. DAKOTA,PIERRE,3,T70,43,7003,75.3,93,152,3
S. DAKOTA,PIERRE,3,OK88767-24,7,6993,76.6,87,152,5
S. DAKOTA,PIERRE,3,XH1455,34,6979,74.9,93,152,6
S. DAKOTA,PIERRE,3,TX88A6533,9,6966,76.2,83,151,5
S. DAKOTA,PIERRE,3,OK88767-15,6,6726,82.8,82,152,3
S. DAKOTA,PIERRE,3,KS831374-142,22,6668,77.1,87,152,5
S. DAKOTA,PIERRE,3,XH1485,35,6634,75.1,92,152,6
S. DAKOTA,PIERRE,3,OK88767-02,5,6627,81.7,91,151,3
S. DAKOTA,PIERRE,3,XH1529,37,6625,79.7,89,152,4
S. DAKOTA,PIERRE,3,CO880210,0,6497,78,88,151,6
S. DAKOTA,PIERRE,3,KS92P0425-155,27,6464,71.5,78,155,4
S. DAKOTA,PIERRE,3,KS92P059E,24,6423,70,88,152,3
S. DAKOTA,PIERRE,3,XH1520,36,6418,75.5,94,150,5
S. DAKOTA,PIERRE,3,TX91V3308,16,6411,74,91,154,4
S. DAKOTA,PIERRE,3,T13,41,6384,74.2,88,150,6
S. DAKOTA,PIERRE,3,TX89A7137,11,6210,73.3,84,151,6
S. DAKOTA,PIERRE,3,TAM-107,3,6147,78.9,92,153,4
S. DAKOTA,PIERRE,3,WI89-055,40,6056,76.8,89,150,4
S. DAKOTA,PIERRE,3,NE90479,31,6012,78.2,96,152,4
S. DAKOTA,PIERRE,3,TX91V4931,12,5984,79.3,84,151,6
S. DAKOTA,PIERRE,3,Tx89A7141,17,5973,74.4,84,151,6
S. DAKOTA,PIERRE,3,XH1610,38,5954,78.2,94,152,4
S. DAKOTA,PIERRE,3,T4731,42,5950,76,87,151,4
S. DAKOTA,PIERRE,3,TX90D9277,10,5916,73.1,91,152,6
S. DAKOTA,PIERRE,3,TX90V7911,14,5819,73.5,88,152,5
S. DAKOTA,PIERRE,3,NE90574,33,5813,71.1,96,153,4
S. DAKOTA,PIERRE,3,N87V106,29,5765,73.1,91,153,4
S. DAKOTA,PIERRE,3,NE90524,32,5748,75.5,105,154,6
S. DAKOTA,PIERRE,3,TX91V5739,15,5737,75.5,94,153,5
S. DAKOTA,PIERRE,3,KS89H48-1,28,5734,78.4,90,151,6
S. DAKOTA,PIERRE,3,TX88A6480,8,5662,71.9,81,151,5
S. DAKOTA,PIERRE,3,CO880169,19,5662,72.8,97,153,5
S. DAKOTA,PIERRE,3,TX90V8410,13,5603,69.7,87,150,5
S. DAKOTA,PIERRE,3,T64,44,5525,75.7,88,151,4
S. DAKOTA,PIERRE,3,TH905,45,5437,72.6,90,152,5
S. DAKOTA,PIERRE,3,CO880054,18,5289,71.7,93,151,4
S. DAKOTA,PIERRE,3,CO880240,21,5272,71.7,91,157,6
S. DAKOTA,PIERRE,3,KS92P0363-134,26,5067,71.1,85,154,3
S. DAKOTA,PIERRE,3,KS84063-9-7,23,4850,76,93,151,4
S. DAKOTA,PIERRE,3,NE88584,30,3989,73.5,94,152,7
S. DAKOTA,PIERRE,3,W87-017-44,39,3979,75.5,90,154,5
S. DAKOTA,PIERRE,3,Scout66,2,3699,78.2,93,152,8
S. DAKOTA,PIERRE,3,Kharkof,1,2676,73.5,92,161,7
