state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm
S. DAKOTA,WINNER,3,XH1520,36,4993,71.5,84
S. DAKOTA,WINNER,3,TX88A6480,8,4617,73.8,76
S. DAKOTA,WINNER,3,KS92P0425-155,27,4610,73.7,79
S. DAKOTA,WINNER,3,XH1529,37,4571,74.6,87
S. DAKOTA,WINNER,3,OK88767-02,5,4559,75.5,85
S. DAKOTA,WINNER,3,XH1610,38,4481,70,81
S. DAKOTA,WINNER,3,NE90524,32,4459,72,94
S. DAKOTA,WINNER,3,TX89A7137,11,4456,75.7,84
S. DAKOTA,WINNER,3,N87V106,29,4426,72.6,90
S. DAKOTA,WINNER,3,XH1485,35,4414,72.6,84
S. DAKOTA,WINNER,3,CO880169,19,4355,70,81
S. DAKOTA,WINNER,3,T4731,42,4347,72.8,77
S. DAKOTA,WINNER,3,NE88584,30,4340,72.8,78
S. DAKOTA,WINNER,3,T64,44,4321,77.5,76
S. DAKOTA,WINNER,3,XH1455,34,4253,72,87
S. DAKOTA,WINNER,3,KS92P0363-134,26,4201,73.3,74
S. DAKOTA,WINNER,3,TX91V3308,16,4184,73.3,82
S. DAKOTA,WINNER,3,KS89H48-1,28,4184,71.1,80
S. DAKOTA,WINNER,3,TX90D9277,10,4146,73.1,71
S. DAKOTA,WINNER,3,OK88767-11,4,4080,77.5,86
S. DAKOTA,WINNER,3,TX89A7141,17,4072,72.8,77
S. DAKOTA,WINNER,3,KS92P0263-137,25,4008,75.3,76
S. DAKOTA,WINNER,3,TX88A6533,9,3992,72.8,77
S. DAKOTA,WINNER,3,TX91V4931,12,3976,72,84
S. DAKOTA,WINNER,3,TAM-107,3,3969,70.6,84
S. DAKOTA,WINNER,3,W87-017-44,39,3921,72.6,82
S. DAKOTA,WINNER,3,KS84063-9-7,23,3917,74.8,77
S. DAKOTA,WINNER,3,NE90574,33,3914,74.9,91
S. DAKOTA,WINNER,3,TX90V7911,14,3910,69.8,87
S. DAKOTA,WINNER,3,TH905,45,3908,79.1,85
S. DAKOTA,WINNER,3,CO880054,18,3898,72.4,82
S. DAKOTA,WINNER,3,OK88767-24,7,3881,74.8,74
S. DAKOTA,WINNER,3,OK88767-15,6,3873,73.3,75
S. DAKOTA,WINNER,3,T70,43,3871,71.5,84
S. DAKOTA,WINNER,3,CO880240,21,3854,75.7,83
S. DAKOTA,WINNER,3,KS831374-142,22,3835,76,78
S. DAKOTA,WINNER,3,WI89-055,40,3829,77.3,80
S. DAKOTA,WINNER,3,T13,41,3809,72,82
S. DAKOTA,WINNER,3,Scout66,2,3785,73.5,104
S. DAKOTA,WINNER,3,TX90V8410,13,3692,75.3,87
S. DAKOTA,WINNER,3,TX91V5739,15,3643,73.7,79
S. DAKOTA,WINNER,3,Kharkof,1,3624,71.3,105
S. DAKOTA,WINNER,3,NE90479,31,3592,73.7,87
S. DAKOTA,WINNER,3,CO880210,20,3585,70.7,78
S. DAKOTA,WINNER,3,KS92P059E,24,3573,71.3,86
