state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm
NEBRASKA,HEMINGFORD,3,XH1520,36,5481,79.5,85
NEBRASKA,HEMINGFORD,3,XH1529,37,5138,80.5,80
NEBRASKA,HEMINGFORD,3,TX90D9277,10,5102,76.8,88
NEBRASKA,HEMINGFORD,3,T70,43,5080,80.6,82
NEBRASKA,HEMINGFORD,3,CO880210,20,5006,81.4,84
NEBRASKA,HEMINGFORD,3,NE90524,32,4985,78.8,91
NEBRASKA,HEMINGFORD,3,CO880169,19,4950,79.7,89
NEBRASKA,HEMINGFORD,3,KS92P059E,24,4945,77.8,82
NEBRASKA,HEMINGFORD,3,CO880240,21,4889,80,88
NEBRASKA,HEMINGFORD,3,T4731,42,4889,74.4,84
NEBRASKA,HEMINGFORD,3,XH1485,35,4885,79.6,87
NEBRASKA,HEMINGFORD,3,KS92P0363-134,26,4880,75.5,84
NEBRASKA,HEMINGFORD,3,TX89A7137,11,4858,77.1,83
NEBRASKA,HEMINGFORD,3,NE90574,33,4855,77.4,88
NEBRASKA,HEMINGFORD,3,XH1610,38,4831,78.7,84
NEBRASKA,HEMINGFORD,3,TX89A7141,17,4806,76.9,80
NEBRASKA,HEMINGFORD,3,KS92P0425-155,27,4797,76.2,72
NEBRASKA,HEMINGFORD,3,T13,41,4793,79.1,82
NEBRASKA,HEMINGFORD,3,XH1455,34,4770,80.5,82
NEBRASKA,HEMINGFORD,3,KS92P0263-137,25,4759,80.1,75
NEBRASKA,HEMINGFORD,3,NE88584,30,4687,79.2,97
NEBRASKA,HEMINGFORD,3,TX90V8410,13,4849,79.3,81
NEBRASKA,HEMINGFORD,3,KS89H48-1,28,4524,77.5,89
NEBRASKA,HEMINGFORD,3,TAM-107,3,4508,77.9,84
NEBRASKA,HEMINGFORD,3,CO880054,18,4497,78.8,84
NEBRASKA,HEMINGFORD,3,TX88A6533,9,4495,79.7,73
NEBRASKA,HEMINGFORD,3,T64,44,4479,79.7,80
NEBRASKA,HEMINGFORD,3,NE90479,31,4427,80.1,91
NEBRASKA,HEMINGFORD,3,OK88767-11,4,4403,79.2,78
NEBRASKA,HEMINGFORD,3,Scout66,2,4322,80.4,104
NEBRASKA,HEMINGFORD,3,TH905,45,4275,77.4,94
NEBRASKA,HEMINGFORD,3,TX90V7911,14,4250,80,81
NEBRASKA,HEMINGFORD,3,OK88767-24,7,4100,78.4,76
NEBRASKA,HEMINGFORD,3,KS831374-142,22,4080,77.3,76
NEBRASKA,HEMINGFORD,3,WI89-055,40,3936,79.3,76
NEBRASKA,HEMINGFORD,3,TX88A6480,8,3820,77.4,78
NEBRASKA,HEMINGFORD,3,N87V106,29,3811,78.4,84
NEBRASKA,HEMINGFORD,3,KS84063-9-7,23,3762,77.8,85
NEBRASKA,HEMINGFORD,3,OK88767-02,5,3735,79.5,79
NEBRASKA,HEMINGFORD,3,OK88767-15,6,3726,79.1,73
NEBRASKA,HEMINGFORD,3,TX91V4931,12,3717,77.4,81
NEBRASKA,HEMINGFORD,3,TX91V3308,16,3717,75.7,80
NEBRASKA,HEMINGFORD,3,TX91V5739,15,3712,78.7,77
NEBRASKA,HEMINGFORD,3,W87-017-44,39,3441,78.7,83
NEBRASKA,HEMINGFORD,3,Kharkof,1,3176,78.7,118
