state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Nebraska,North Platte,3 replications,CI1442,1,2636,.,109
Nebraska,North Platte,3 replications,CI13996,2,3020,75.7,103
Nebraska,North Platte,3 replications,PI495594,3,3699,75.1,86
Nebraska,North Platte,3 replications,OK88767-11,4,3602,77,79
Nebraska,North Platte,3 replications,OK88767-02,5,3060,77.4,83
Nebraska,North Platte,3 replications,OK88767-15,6,3667,77.7,79
Nebraska,North Platte,3 replications,OK88767-24,7,3753,76.8,84
Nebraska,North Platte,3 replications,TX88A6480,8,3726,74.3,80
Nebraska,North Platte,3 replications,TX88A6533,9,4465,77.1,77
Nebraska,North Platte,3 replications,TX90D9277,10,3714,74.8,88
Nebraska,North Platte,3 replications,TX89A7137,11,3815,73.4,88
Nebraska,North Platte,3 replications,TX91V4931,12,3708,80,85
Nebraska,North Platte,3 replications,TX90V8410,13,4351,75.6,84
Nebraska,North Platte,3 replications,TX9OV7911,14,3132,76.5,77
Nebraska,North Platte,3 replications,TX91V5739,15,2755,74,80
Nebraska,North Platte,3 replications,TX91V3308,16,3161,74.4,83
Nebraska,North Platte,3 replications,TX89A7141,17,3941,73.8,85
Nebraska,North Platte,3 replications,C0880054,18,3730,74,89
Nebraska,North Platte,3 replications,CO880169,19,3486,76.1,97
Nebraska,North Platte,3 replications,CO88021,20,3246,76.8,85
Nebraska,North Platte,3 replications,CO880240,21,3862,75.7,93
Nebraska,North Platte,3 replications,KS831374-142,22,3894,76,83
Nebraska,North Platte,3 replications,KS84063-9-7,23,2804,75.3,85
Nebraska,North Platte,3 replications,KS92PO59E,24,4313,72.2,85
Nebraska,North Platte,3 replications,KS92PO263-137,25,3945,76.6,89
Nebraska,North Platte,3 replications,KS92PO363-134,26,4044,74.3,89
Nebraska,North Platte,3 replications,KS92PO425-155,27,4640,74.6,81
Nebraska,North Platte,3 replications,KS89H48-1,28,4302,76.5,95
Nebraska,North Platte,3 replications,N87V106,29,3387,75.9,89
Nebraska,North Platte,3 replications,NE88584,30,3562,75.3,104
Nebraska,North Platte,3 replications,NE90479,31,3784,77.3,86
Nebraska,North Platte,3 replications,NE90524,32,3782,75.6,94
Nebraska,North Platte,3 replications,NE90574,33,4035,74.2,95
Nebraska,North Platte,3 replications,XH1455,34,4382,77.5,95
Nebraska,North Platte,3 replications,XH1485,35,4185,76.4,93
Nebraska,North Platte,3 replications,XH1520,36,4109,76.4,94
Nebraska,North Platte,3 replications,XH1529,37,4268,76.8,85
Nebraska,North Platte,3 replications,XH1610,38,4107,75.9,91
Nebraska,North Platte,3 replications,W87-017-44,39,3683,76.5,89
Nebraska,North Platte,3 replications,WI89-055,40,3999,78,84
Nebraska,North Platte,3 replications,T13,41,4008,74.9,90
Nebraska,North Platte,3 replications,T4731,42,4223,70.4,89
Nebraska,North Platte,3 replications,T70,43,3472,76.5,81
Nebraska,North Platte,3 replications,T64,44,4161,76.6,88
Nebraska,North Platte,3 replications,TH905,45,3688,73.7,90
